hotstar_id,title,description,genre,release_year,age_rating,running_time,seasons,episodes,type,country,tconst,titleType,primaryTitle,originalTitle,isAdult,startYear,endYear,runtimeMinutes,genres,averageRating,numVotes
1000233909.0,Dharma Durai,"Dharmadurai, an alcoholic, meets his college friend Suhasini who gets him back on his feet. But when his dreaded past returns, his old wounds surface.",Drama,2017.0,U/A 13+,116.0,,,movie,India,tt0317352,movie,Dharma Durai,Dharma Durai,0.0,1991.0,,144,Drama,6.6,379
1260025499.0,Bad Education,The film follows the supervisors in the Long Island school district who masterminded the largest public-school embezzlement scandal in American history.,Drama,2020.0,U/A 16+,108.0,,,movie,Turkey,tt2337840,tvSeries,Bad Education,Bad Education,0.0,2012.0,2024.0,30,Comedy,7.3,13745
1260129654.0,Lori,"A lazy afternoon takes a chaotic turn when a gangster gets into an argument with his wife, wherein vengeance seems inevitable.",Drama,2020.0,U/A 16+,14.0,,,movie,Canada,tt0609454,tvEpisode,Lori,Lori,0.0,1966.0,,60,"Action,Adventure",7.7,58
1000097139.0,Chiranjeevi,The son of a wealthy businessman falls in love with a visually impaired girl. His father agrees to accept their alliance only if she gets her sight back.,Drama,2003.0,U/A 13+,134.0,,,movie,Germany,tt0245833,movie,Chiranjeevi,Chiranjeevi,0.0,1985.0,,,"Crime,Drama,Family",7.7,45
1260020833.0,Stuber,"Stu, a mild-mannered Uber driver, tries to hold onto his life and five-star rating after picking up a passenger who is hot on the trail of a brutal killer.",Comedy,2019.0,A,93.0,,,movie,Japan,tt7734218,movie,Stuber,Stuber,0.0,2019.0,,93,"Action,Comedy,Crime",6.2,51468
1000212789.0,Raid,Fearless income tax officer Amay Patnaik carries out a risky raid at the mansion of the most powerful man in Lucknow. Inspired by real-life events.,Crime,2018.0,U/A 13+,115.0,,,movie,Japan,tt0229924,tvSeries,Raid,Raid,0.0,2000.0,2000.0,504,"Crime,Drama,Thriller",8.5,1473
1000160571.0,Thoovalsparsham,"Three bachelors find a baby girl at their doorstep. When they fail to find her parents, they decide to bring her up together.",Comedy,1990.0,U,125.0,,,movie,Portugal,tt15427782,tvSeries,Thoovalsparsham,Thoovalsparsham,0.0,2021.0,,,Drama,7.6,5
1000153330.0,Shukra,"Cop Soorya and gangster Shukra are lookalikes. When Soorya falls into trouble at the hands of bad guys, Shukra comes to set things right.",Action,2007.0,U/A 16+,135.0,,,movie,Germany,tt14430410,movie,Shukra,Shukra,0.0,2021.0,,119,Drama,7.3,1545
1000061023.0,Jayammana Maga,"Jayamma is a religious lady. Her atheist son gets into trouble when some tantriks, who practise black magic and human sacrifice, target the girl he loves.",Thriller,2013.0,U/A 16+,134.0,,,movie,Singapore,tt3114944,movie,Jayammana Maga,Jayammana Maga,0.0,2013.0,,139,Drama,6.7,37
1000115097.0,Uppu,"Amina is forced to divorce her husband, Abu, and become the second wife of a rich landlord who covets her. Twenty years later, her fate has not improved.",Drama,1987.0,U,105.0,,,movie,Italy,tt0253871,movie,Uppu,Uppu,0.0,1987.0,,115,Drama,6.9,10
1000053538.0,Roy,"A casanova filmmaker feels lonely after a heartbreak. Meanwhile, a notorious art thief has a change of heart after falling in love. Are there any dots to join?",Romance,2015.0,U/A 13+,139.0,,,movie,Germany,tt0100521,movie,Roy,Roy,0.0,1990.0,,148,Drama,6.2,40
1000007134.0,London Paris New York,"Nikhil and Lalita's romantic uncertainties take them romping across continents - from London, to Paris to New York. Will they find their happily ever after?",Romance,2012.0,U/A 13+,96.0,,,movie,Argentina,tt2064849,movie,London Paris New York,London Paris New York,0.0,2012.0,,100,Romance,5.6,3837
1260063352.0,Us Again,An elderly man and his young-at-heart wife rekindle their passion for life on one magical night.,Animation,2021.0,U/A 7+,6.0,,,movie,India,tt11872560,movie,Us Again,Us Again,0.0,2020.0,,97,"Drama,Romance",5.9,87
1260071226.0,Seetimaarr,"Boiling the ocean, Karthi's team manages to enter the kabaddi nationals for women where he bumps into Jwala, an opposing team's coach. Yet another battle begins.",Action,2021.0,U/A 16+,136.0,,,movie,Japan,tt11580944,movie,Seetimaarr,Seetimaarr,0.0,2021.0,,139,"Action,Drama,Sport",5.0,1365
1000081930.0,10 Endrathukulla,"A driving instructor is tasked by a criminal to deliver a woman to Mussoorie from Chennai. Soon, he realises his assignment may be too dangerous.",Action,2015.0,U/A 13+,133.0,,,movie,Turkey,tt5128266,movie,10 Endrathukulla,10 Endrathukulla,0.0,2015.0,,144,"Action,Adventure,Thriller",5.2,1581
1000212873.0,Ankahee,"Dr Shekhar is happily married to Nandita. Trouble creeps in their paradise when he falls for an over-possessive Kavya, who takes over his life.",Thriller,2006.0,U/A 13+,147.0,,,movie,India,tt0249358,movie,Ankahee,Ankahee,0.0,1985.0,,135,Drama,7.9,129
1000060607.0,Chingari,Supercop Dhanush's girlfriend is kidnapped and taken to Switzerland by human traffickers. Will he be able to save her from being forced into prostitution?,Action,2012.0,U/A 16+,122.0,,,movie,India,tt0317236,movie,Chingari,Chingari,0.0,1964.0,,,Musical,7.8,9
1770015271.0,Marubhoomiyile Aana,"Desperate to resolve his financial issues and marry his lover, Sughu decides to go to Qatar for a task that promises quick money. Then he bumps into a Sheikh.",Comedy,2016.0,U/A 7+,114.0,,,movie,Singapore,tt5533990,movie,Marubhoomiyile Aana,Marubhoomiyile Aana,0.0,2016.0,,122,Comedy,5.1,398
1000239140.0,Tennis Buddies,"Ayushi Singh, an aspiring tennis player is trained by her father. When old school ideologies clash with a new mind, it shakes the father-daughter bond.",Drama,2019.0,U,106.0,,,movie,Argentina,tt7441944,movie,Tennis Buddies,Tennis Buddies,0.0,2019.0,,153,Drama,5.8,45
1770000669.0,Amelia,"Amelia Earhart, the first woman to fly over the Atlantic Ocean, but, due to lack of recognition, in 1937, she decides to fly around the world instead.",Historical,2009.0,U/A 13+,106.0,,,movie,Turkey,tt0383867,tvMovie,Amelia,Amelia,0.0,2003.0,,60,"Drama,Musical",8.6,157
1000061677.0,Super Ranga,"Ranga loves thrills in life. Furious with his way of living, Swathi weds a police officer, who is pursuing a criminal. Will she be able to connect the dots?",Action,2014.0,U/A 13+,152.0,,,movie,Portugal,tt11585868,movie,Super Ranga,Super Ranga,0.0,2014.0,,,"Action,Comedy",5.4,43
1260022699.0,Earth Live,"Jane Lynch, Phil Keoghan, and Chris Packham take the viewers on a live journey around the world focusing on some of the most spectacular wildlife on the planet.",Animals & Nature,2017.0,U/A 7+,93.0,,,movie,Brazil,tt7008868,tvSpecial,Earth Live,Earth Live,0.0,2017.0,,,Documentary,5.2,72
1770017166.0,War for the Planet of the Apes,"After the war with humans, apes suffer unimaginable losses. Caesar wrestles with his darker instincts to begin a quest to avenge his kind.",Science Fiction,2017.0,U/A 13+,140.0,,,movie,Portugal,tt3450958,movie,War for the Planet of the Apes,War for the Planet of the Apes,0.0,2017.0,,140,"Action,Adventure,Drama",7.4,287536
1260068261.0,Annabelle Sethupathi,"A scary journey begins when a small-time thief, Rudra, enters a haunted castle and gets pulled into the mystery of its mistress - Annabelle Sethupathi.",Horror,2021.0,U,134.0,,,movie,India,tt15302290,movie,Annabelle Sethupathi,Annabelle Sethupathi,0.0,2021.0,,135,"Comedy,Fantasy,Horror",3.7,2460
1770021056.0,Jerrod Carmichael: 8,"This one-hour show features Carmichael's sharp, subversive take on a range of topics such as Trump's victory, climate change, and more.",Standup Comedy,2017.0,U/A 16+,57.0,,,movie,India,tt6669086,tvSpecial,8,Jerrod Carmichael: 8,0.0,2017.0,,59,Comedy,7.4,1185
1000105364.0,Shyama,"Haunted by two deaths, director Viswanathan is a depressed man until he meets Shyama. However, she too is coping with the demise of her boyfriend.",Romance,1986.0,U/A 13+,129.0,,,movie,Singapore,tt0271784,movie,Shyama,Shyama,0.0,1986.0,,126,"Drama,Romance",7.4,62
1770021488.0,Klondike Fever,The movie chronicles Jack London's epic journey from San Francisco to the Klondike gold fields in 1898.,Drama,1980.0,U/A 13+,106.0,,,movie,Italy,tt0081004,movie,Klondike Fever,Klondike Fever,0.0,1979.0,,119,Adventure,5.5,233
1000107525.0,Chakram,Truck driver Chandrahasan's life is shattered when his wife gets kidnapped by his friend Giri. Will he succeed in finding them on time?,Action,2003.0,U/A 13+,135.0,,,movie,Italy,tt0393139,movie,Chakram,Chakram,0.0,2003.0,,,"Action,Comedy,Drama",4.5,152
1000004425.0,Bobby Jasoos,"Bobby, a small-time detective in Hyderabad, gets a breakthrough when a rich man hires her. Unaware of his real intentions, Bobby sets out on a risky path.",Drama,2014.0,U,116.0,,,movie,Brazil,tt3359290,movie,Bobby Jasoos,Bobby Jasoos,0.0,2014.0,,121,"Comedy,Drama,Thriller",5.5,2447
